,Date,Start time,From city,To city,Number called (to/from),Call type,Duration
310, 10-22-2019,10:48:16 AM,TORONTO ON,RICHMONDHL ON,E_3,Outgoing,4
311, 10-20-2019,12:33:59 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,11
312, 10-20-2019,11:56:15 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
313, 10-19-2019,9:52:06 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,2
314, 10-19-2019,5:38:42 PM,NEWMARKET ON,TORONTO ON,A_1,Outgoing,1
315, 10-19-2019,5:31:25 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
316, 10-17-2019,10:45:08 AM,TORONTO ON,TORONTO ON,A_4,Outgoing,8
317, 10-17-2019,10:43:21 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,1
318, 10-17-2019,10:39:50 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,3
319, 10-17-2019,10:37:26 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
320, 10-17-2019,10:36:23 AM,TORONTO ON,TORONTO ON,A_5,Outgoing,1
321, 10-17-2019,8:01:19 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,2
322, 10-17-2019,8:00:39 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,1
323, 10-16-2019,7:17:47 PM,NEWMARKET ON,NEWMARKET ON,G_2,Outgoing,6
