,Date,Start time,From city,To city,Number called (to/from),Call type,Duration
85,09-18-2019,12:24:09 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,20
86,09-18-2019,12:01:57 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
87,09-17-2019,6:43:01 PM,TORONTO ON,OAK RIDGES ON,C_5,Outgoing,2
88,09-17-2019,12:34:47 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,15
89,09-16-2019,1:23:47 PM,TORONTO ON,AURORA ON,D_1,Outgoing,2
90,09-16-2019,10:57:06 AM,TORONTO ON,TORONTO ON,D_2,Outgoing,2
91,09-16-2019,10:02:51 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,52
92,09-16-2019,10:02:30 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
93,09-16-2019,10:01:03 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
94,09-15-2019,4:36:03 PM,TORONTO ON,TORONTO ON,A_5,Outgoing,2
95,09-15-2019,4:15:24 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,11
96,09-15-2019,4:10:44 PM,TORONTO ON,TORONTO ON,A_5,Outgoing,5
97,09-15-2019,4:00:22 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,11
98,09-15-2019,3:53:03 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,8
99,09-15-2019,3:22:11 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,12
100,09-15-2019,2:18:20 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,9
101,09-15-2019,11:37:42 AM,TORONTO ON,TORONTO ON,A_5,Outgoing,1
102,09-15-2019,11:17:05 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,6
103,09-14-2019,9:57:10 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
104,09-14-2019,3:53:44 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,3
105,09-14-2019,10:49:25 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
106,09-14-2019,10:44:54 AM,TORONTO ON,TORONTO ON,D_3,Outgoing,1
107,09-14-2019,10:20:10 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,21
108,09-13-2019,4:05:46 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
109,09-13-2019,10:33:47 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,27
110,09-13-2019,9:35:36 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,1
